[AL Navigator]  1250 objects without translation:
   Page | "Email Viewer" (ID: 12, App: Microsoft_Base Application)
   Page | "Email Editor" (ID: 13, App: Microsoft_Base Application)
   Page | "G/L Entries Part" (ID: 19, App: Microsoft_Base Application)
   Page | "Job List" (ID: 89, App: Microsoft_Base Application)
   Page | "Job Ledger Entries" (ID: 90, App: Microsoft_Base Application)
   Page | "Job Ledger Entries Preview" (ID: 93, App: Microsoft_Base Application)
   Page | "Account Schedule Names" (ID: 103, App: Microsoft_Base Application)
   Page | "Account Schedule" (ID: 104, App: Microsoft_Base Application)
   Page | "New Account Schedule Name" (ID: 108, App: Microsoft_Base Application)
   Page | "Exchange Rate Adjmt. Register" (ID: 111, App: Microsoft_Base Application)
   Page | "G/L Posting Preview" (ID: 115, App: Microsoft_Base Application)
   Page | "G/L Budget Names" (ID: 120, App: Microsoft_Base Application)
   Page | "Det. Cust. Ledg. Entr. Preview" (ID: 126, App: Microsoft_Base Application)
   Page | "Vend. Ledg. Entries Preview" (ID: 128, App: Microsoft_Base Application)
   Page | "Detailed Vend. Entries Preview" (ID: 129, App: Microsoft_Base Application)
   Page | "Setup Business Unit Currency" (ID: 131, App: Microsoft_Base Application)
   Page | "Warranty Ledg. Entries Preview" (ID: 144, App: Microsoft_Base Application)
   Page | "Standard Sales Code Card" (ID: 172, App: Microsoft_Base Application)
   Page | "Standard Customer Sales Codes" (ID: 173, App: Microsoft_Base Application)
   Page | "Standard Vendor Purchase Codes" (ID: 177, App: Microsoft_Base Application)
   Page | "Additional Cust. Terms Setup" (ID: 184, App: Microsoft_Base Application)
   Page | "Reverse Transaction Entries" (ID: 186, App: Microsoft_Base Application)
   Page | "Exch.Rate Adjmt. Ledg.Entries" (ID: 187, App: Microsoft_Base Application)
   Page | "Posted Docs. With No Inc. Doc." (ID: 189, App: Microsoft_Base Application)
   Page | "Incoming Doc. Attach. FactBox" (ID: 190, App: Microsoft_Base Application)
   Page | "Incoming Document Attachments" (ID: 191, App: Microsoft_Base Application)
   Page | "Acc. Sched. KPI Web Srv. Setup" (ID: 195, App: Microsoft_Base Application)
   Page | "Acc. Sched. KPI Web Srv. Lines" (ID: 196, App: Microsoft_Base Application)
   Page | "Acc. Sched. KPI Web Service" (ID: 197, App: Microsoft_Base Application)
   Page | "Account Schedule KPI Setup" (ID: 198, App: Microsoft_Base Application)
   Page | "Account Schedule KPI" (ID: 199, App: Microsoft_Base Application)
